query,intent
强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
开始强力清洁客厅,"['set_air_suction', 'start_clean']"
强力扫厨房,"['set_air_suction', 'start_sweep']"
强力打扫卫生,"['set_air_suction', 'start_clean']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力清洁厨房和卫生间,"['set_air_suction', 'start_clean']"
强力拖客厅,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清洗厨房,"['set_air_suction', 'start_clean']"
强力清洗厨房,"['set_air_suction', 'start_clean']"
两个卧室强力清洁,"['set_air_suction', 'start_clean']"
强力扫地阳台,"['set_air_suction', 'start_sweep']"
开启强力清扫,"['set_air_suction', 'start_clean']"
全屋强力吸尘,"['set_air_suction', 'start_sweep']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力清洗次卧,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力打扫此房间,"['set_air_suction', 'start_clean']"
卧室强力扫地,"['set_air_suction', 'start_sweep']"
强力拖地呃不是强力吸地,"['set_air_suction', 'start_sweep']"
强力扫拖客厅,"['set_air_suction', 'start_sweep_and_mop']"
把全屋强力扫一遍,"['set_air_suction', 'start_sweep']"
换成强力扫地,"['set_air_suction', 'start_sweep']"
强力扫拖厨房,"['set_air_suction', 'start_sweep_and_mop']"
强力扫拖主卧,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
进行全屋强力清洁,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
你扫书房强力清洁,"['set_air_suction', 'start_clean']"
强力清洁书房,"['set_air_suction', 'start_clean']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力扫吸全屋,"['set_air_suction', 'start_sweep']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清扫房房间三遍,"['set_air_suction', 'start_clean']"
开始强力清清洁洁,"['set_air_suction', 'start_clean']"
开始强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清扫客厅和餐厅,"['set_air_suction', 'start_clean']"
强力清扫客厅和餐厅,"['set_air_suction', 'start_clean']"
开启强力清扫模式,"['set_air_suction', 'start_clean']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
开始强力清洁模式,"['set_air_suction', 'start_clean']"
开启强力拖,"['set_air_suction', 'start_mop']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
强力扫地餐厅,"['set_air_suction', 'start_sweep']"
打扫餐厅强力扫地,"['set_air_suction', 'start_sweep']"
开启强力拖,"['set_air_suction', 'start_mop']"
开启强力拖,"['set_air_suction', 'start_mop']"
开启强力拖,"['set_air_suction', 'start_mop']"
强力清扫我面前这块地,"['set_air_suction', 'start_clean']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
去次卧强力吸力扫地,"['set_air_suction', 'start_sweep']"
强力扫地主卧,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
全屋强力扫拖,"['set_air_suction', 'start_sweep_and_mop']"
全屋强力打扫,"['set_air_suction', 'start_clean']"
全屋强力扫地,"['set_air_suction', 'start_sweep']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力扫扫地,"['set_air_suction', 'start_sweep']"
把厨房强力扫拖一下,"['set_air_suction', 'start_sweep_and_mop']"
最强力扫地,"['set_air_suction', 'start_sweep']"
强力清扫走廊,"['set_air_suction', 'start_clean']"
给主卧扫地强力清扫扫两遍,"['set_air_suction', 'start_clean']"
强力打扫客厅,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
开启强力清洁,"['set_air_suction', 'start_clean']"
开始强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
开启强力清洁模式,"['set_air_suction', 'start_clean']"
强力清扫模式,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清洁主卧,"['set_air_suction', 'start_clean']"
强力拖大卧室,"['set_air_suction', 'start_mop']"
把厨房强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
强力拖大卧室,"['set_air_suction', 'start_mop']"
强力拖,"['set_air_suction', 'start_mop']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
强力扫地客厅,"['set_air_suction', 'start_sweep']"
强力拖地,"['set_air_suction', 'start_mop']"
强力拖地,"['set_air_suction', 'start_mop']"
切换强力清洁,"['set_air_suction', 'start_clean']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力模式清扫客厅和餐厅,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
强力清洁厨房,"['set_air_suction', 'start_clean']"
开启强力扫地模式,"['set_air_suction', 'start_sweep']"
呃强力扫地,"['set_air_suction', 'start_sweep']"
标准吸力扫一下客厅,"['set_air_suction', 'start_sweep']"
厨房强力扫力扫强力扫地两次,"['set_air_suction', 'set_air_suction']"
厨房强力扫地,"['set_air_suction', 'start_sweep']"
清洁书房强力清洁,"['set_air_suction', 'start_clean']"
强强力拖地,"['set_air_suction', 'start_mop']"
开始强力清洁,"['set_air_suction', 'start_clean']"
强力扫拖模式,"['set_air_suction', 'start_sweep_and_mop']"
强力清洁客厅,"['set_air_suction', 'start_clean']"
强力吸尘客厅,"['set_air_suction', 'start_sweep']"
强力扫拖厨房两遍,"['set_air_suction', 'start_sweep_and_mop']"
把厨房强力扫拖两遍,"['set_air_suction', 'start_sweep_and_mop']"
把客厅强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
帮我强力扫一下客厅,"['set_air_suction', 'start_sweep']"
帮我强力扫一下客厅,"['set_air_suction', 'start_sweep']"
开启强力清扫全屋,"['set_air_suction', 'start_clean']"
强力清扫全屋,"['set_air_suction', 'start_clean']"
吸力调到标准水量调到大水量,"['set_air_suction', 'set_water_volume']"
吸力调到标准水量调到大水量,"['set_air_suction', 'set_water_volume']"
主卧强力清扫,"['set_air_suction', 'start_clean']"
吸力设置为标准水量设置为大水量,"['set_air_suction', 'set_water_volume', 'start_sweep']"
主卧强力扫,"['set_air_suction', 'start_sweep']"
强力清扫强力清扫,"['set_air_suction', 'start_clean']"
强力清扫地强力清扫地,"['set_air_suction', 'set_air_suction', 'start_clean']"
餐厅强力扫地一遍,"['set_air_suction', 'start_sweep']"
强力清扫客厅,"['set_air_suction', 'start_clean']"
强力拖地,"['set_air_suction', 'start_mop']"
强力打扫玄关,"['set_air_suction', 'start_clean']"
强力打扫玄关,"['set_air_suction', 'start_clean']"
强力清洗主卧,"['set_air_suction', 'start_clean']"
客厅强力扫地,"['set_air_suction', 'start_sweep']"
把客厅强力扫一下,"['set_air_suction', 'start_sweep']"
把客厅强力扫拖一遍,"['set_air_suction', 'start_sweep_and_mop']"
打开清扫模式强力清扫模式,"['set_air_suction', 'start_clean']"
开启强力清扫模式,"['set_air_suction', 'start_clean']"
现在开始全屋强力清扫,"['set_air_suction', 'start_clean']"
强力打扫厨房,"['set_air_suction', 'start_clean']"
强力清扫厨房,"['set_air_suction', 'start_clean']"
