query,response,count
关闭烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",871
打开烟机,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""on"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",230
再大一点,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""up"",""mod"":""integrated_stove"",""property"":""sound_volume"",""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",17
快速蒸,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""steam_oven"",""property"":""mode"",""property_unit"":null,""property_value"":[""02""],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",3
打开蒸箱,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""start"",""mod"":""steam_oven"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",3
开始蒸,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""start"",""mod"":""steam_oven"",""property"":null,""property_unit"":null,""property_value"":[],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",5
启动速蒸,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""steam_oven"",""property"":""mode"",""property_unit"":null,""property_value"":[""02""],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
音量调到60%,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""to"",""mod"":""integrated_stove"",""property"":""sound_volume"",""property_unit"":null,""property_value"":[""60""],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
音量调高70%,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""up"",""mod"":""integrated_stove"",""property"":""sound_volume"",""property_unit"":null,""property_value"":[""70""],""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
关闭烟机关,"{""error_code"":0,""error_msg"":""OK"",""result"":{""data"":[{""action"":""off"",""mod"":""hood"",""property"":null,""property_unit"":null,""property_value"":null,""reply"":"""",""skill_id"":""1105073"",""time_duration"":null,""time_start"":null}],""err_code"":0,""err_msg"":""ok"",""response_list"":[{""schema"":{""slots"":[],""intent_confidence"":100,""intent"":"""",""domain_confidence"":100},""origin"":""1105073"",""action_list"":[{""custom_reply"":""{\""reply\"":[]}""}]}]}}",1
