query	domain	intent	slots
嗯帮我返回基站	narwal_other_function	start_back_station	[]
回去充电	narwal_other_function	start_back_station	[]
来我这里扫一下	narwal_clean_function	come_here_sweep	[]
来我这里打扫	narwal_clean_function	come_here_clean	[]
返回基站	narwal_other_function	start_back_station	[]
不要清理地毯	narwal_clean_function	stop_clean	"[[""location"", 4, 6]]"
开始拖地	narwal_clean_function	start_mop	[]
回返回基站	narwal_other_function	start_back_station	[]
到我这里来	narwal_clean_function	come_here	[]
洗拖儿童房	narwal_clean_function	start_mop	"[[""location"", 2, 5]]"
吸力调大一点	narwal_parameter_control	up_suction	[]
结束任务去扫客厅	narwal_clean_function	stop_sweep	"[[""location"", 6, 8]]"
去扫客厅	narwal_clean_function	start_sweep	"[[""location"", 2, 4]]"
过来清理这里	narwal_clean_function	come_here_clean	[]
把厨房打扫一下	narwal_clean_function	start_clean	"[[""location"", 1, 3]]"
打扫主卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
过来	narwal_clean_function	come_here	[]
清扫厨房和餐厅	narwal_clean_function	start_clean	[]
去打扫主卧	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
你还要充多长时间的电	narwal_other_function	info_elec_status	[]
你大概多久能充满电	narwal_other_function	info_elec_status	[]
出来	narwal_other_function	start_exit_duck	[]
打扫	narwal_clean_function	start_clean	[]
用最大吸力打扫卫生间	narwal_clean_function	start_clean	"[[""location"", 7, 10], [""suction"", 1, 3]]"
打扫厨房两遍	narwal_clean_function	start_clean	"[[""frequency"", 4, 6], [""location"", 2, 4]]"
开始全屋扫拖	narwal_clean_function	start_sweep_and_mop	"[[""location"", 2, 4]]"
现在还有多少电量	narwal_other_function	info_elec_status	[]
来我这里扫地	narwal_clean_function	come_here_sweep	[]
吸力开到最大打扫卫生间	narwal_clean_function	start_clean	"[[""location"", 8, 11]]"
继续拖	narwal_clean_function	continue_mop	[]
打扫一下我阳台	narwal_clean_function	start_clean	"[[""location"", 4, 7]]"
到我这边来	narwal_clean_function	come_here	[]
拖卫生间一	narwal_clean_function	start_mop	"[[""location"", 1, 5]]"
把客厅拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
今天在干嘛呢	narwal_other_function	info_action_status	[]
打扫房间七	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
调高吸力	narwal_parameter_control	up_suction	[]
到客厅来	narwal_clean_function	move	"[[""location"", 1, 3]]"
开始全屋拖地	narwal_clean_function	start_mop	"[[""location"", 2, 4]]"
扫客厅去	narwal_clean_function	start_sweep	"[[""location"", 1, 3]]"
扫拖儿童房	narwal_clean_function	start_sweep_and_mop	"[[""location"", 2, 5]]"
到餐厅来	narwal_clean_function	move	"[[""location"", 1, 3]]"
过来客厅这里	narwal_clean_function	move	"[[""location"", 2, 4]]"
去卫生间二号打扫	narwal_clean_function	start_clean	"[[""location"", 1, 6]]"
打扫一下卫生间	narwal_clean_function	start_clean	"[[""location"", 4, 7]]"
打扫完客厅之后打扫一下次卧	narwal_clean_function	start_clean	"[[""location"", 11, 13]]"
去卫生间二打扫	narwal_clean_function	start_clean	"[[""location"", 1, 5]]"
打扫一下次卧	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
你在充电吗	narwal_other_function	info_action_status	[]
把我这里打扫一下	narwal_clean_function	come_here_clean	[]
请来这里扫	narwal_clean_function	come_here_sweep	[]
你在干嘛	narwal_other_function	info_action_status	[]
打扫厨房	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
打扫一下儿童房	narwal_clean_function	start_clean	"[[""location"", 4, 7]]"
去清洁主卧	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
扫客厅	narwal_clean_function	start_sweep	"[[""location"", 1, 3]]"
打扫一下卧室和	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
请来我这里打扫	narwal_clean_function	come_here_clean	[]
出来打扫客厅	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
拖厨房	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
开始建图	narwal_other_function	start_generate_map	[]
过来扫一下	narwal_clean_function	start_sweep	[]
来这里打扫	narwal_clean_function	come_here_clean	[]
到回基站	narwal_other_function	start_back_station	[]
把阳台二打扫一下	narwal_clean_function	start_clean	"[[""location"", 1, 4]]"
开始扫地	narwal_clean_function	start_sweep	[]
把卫生间拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 4]]"
你扫完地了吗	narwal_other_function	info_clean_progress	[]
来我这里清洁	narwal_clean_function	come_here_clean	[]
打扫一下主卧	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
去打扫客厅	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
打扫卫生	narwal_clean_function	start_clean	[]
把卫生间扫一下	narwal_clean_function	start_sweep	"[[""location"", 1, 4]]"
停止清扫	narwal_clean_function	stop_clean	[]
烘干拖布	narwal_other_function	start_drying	[]
回基站结束任务	narwal_other_function	start_back_station	[]
回基站	narwal_other_function	start_back_station	[]
清洁客厅	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
请回基站	narwal_other_function	start_back_station	[]
去打扫厨房	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
去卫生间拖个地	narwal_clean_function	start_mop	"[[""location"", 1, 4]]"
清洁房间一	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
扫一下过道	narwal_clean_function	start_sweep	"[[""location"", 3, 5]]"
呃打扫一下我这里	narwal_clean_function	come_here_clean	[]
开始清洁	narwal_clean_function	start_clean	[]
清洁厨房	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
继续清扫	narwal_clean_function	continue_clean	[]
打扫客厅	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
打扫走廊	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
打扫一下客厅	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
清理房间一	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
到我这边来清洗	narwal_clean_function	come_here_clean	[]
重新建图	narwal_other_function	start_generate_map	[]
回家	narwal_other_function	start_back_station	[]
机器人扫拖同时进度为多少	narwal_other_function	info_clean_progress	[]
来我这里清扫一下	narwal_clean_function	come_here_clean	[]
来我这边拖	narwal_clean_function	come_here_mop	[]
清扫	narwal_clean_function	start_clean	[]
出来拖地	narwal_clean_function	start_mop	[]
把这里再扫一遍	narwal_clean_function	come_here_sweep	[]
到我这里来打扫	narwal_clean_function	come_here_clean	[]
打扫阳台	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
卫生间拖地拖三遍	narwal_clean_function	start_mop	"[[""frequency"", 6, 7]]"
去客厅扫地	narwal_clean_function	start_sweep	"[[""location"", 1, 3]]"
先去拖大卧室	narwal_clean_function	start_mop	"[[""location"", 3, 6]]"
你出来	narwal_other_function	start_exit_duck	[]
去拖卧室一	narwal_clean_function	start_mop	"[[""location"", 2, 5]]"
出来清清洁一下	narwal_clean_function	start_clean	[]
出来一下	narwal_other_function	start_exit_duck	[]
继续干活	narwal_clean_function	continue_clean	[]
清扫全屋	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
到我这里来打扫一下	narwal_clean_function	come_here_clean	[]
扫拖	narwal_clean_function	start_sweep_and_mop	[]
别起来别起来	narwal_other_function	stop_exit_duck	[]
来这里扫一下	narwal_clean_function	come_here_sweep	[]
开始扫拖同时	narwal_clean_function	start_sweep_and_mop	[]
打扫厨房卫生	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
开始清扫	narwal_clean_function	start_clean	[]
把餐厅吃饭的地方重新拖一遍扫拖一遍	narwal_clean_function	start_sweep_and_mop	"[[""frequency"", 11, 12]]"
退出基站	narwal_other_function	start_exit_duck	[]
打扫房间二	narwal_clean_function	start_clean	"[[""location"", 2, 5]]"
结束任务返回基站	narwal_other_function	start_back_station	[]
到这里来	narwal_clean_function	come_here	[]
打扫下主卧	narwal_clean_function	start_clean	"[[""location"", 3, 5]]"
过来来到我这里来	narwal_clean_function	come_here	[]
清理书房	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
清扫这里清扫这里	narwal_clean_function	come_here_clean	[]
出来清扫一下基站附近	narwal_clean_function	start_clean	[]
出站	narwal_other_function	start_exit_duck	[]
到这边来拖一下地	narwal_clean_function	come_here_mop	[]
过来扫厨房	narwal_clean_function	start_sweep	"[[""location"", 3, 5]]"
开始充电	narwal_other_function	start_back_station	[]
过来扫餐厅	narwal_clean_function	start_sweep	"[[""location"", 3, 5]]"
返回基站返回基站	narwal_other_function	start_back_station	[]
打扫一下厨房	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
打扫次卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
回到基站	narwal_other_function	start_back_station	[]
回到基	narwal_other_function	start_back_station	[]
加大吸力	narwal_parameter_control	up_suction	[]
出来下客厅	narwal_clean_function	move	"[[""location"", 3, 5]]"
嗯出来客厅一下	narwal_clean_function	move	"[[""location"", 3, 5]]"
你打扫到哪一个房间了	narwal_other_function	info_clean_space	[]
过来我这里	narwal_clean_function	come_here	[]
过来一下客厅	narwal_clean_function	move	"[[""location"", 4, 6]]"
继续清洁	narwal_clean_function	continue_clean	[]
嗯过来一下我这里	narwal_clean_function	come_here	[]
清扫卫生间一	narwal_clean_function	start_clean	"[[""location"", 2, 6]]"
回屋	narwal_other_function	start_back_station	[]
你今天花了多长时间打扫下	narwal_other_function	info_complete_time	[]
你给我过来	narwal_clean_function	come_here	[]
过来一下	narwal_clean_function	come_here	[]
建图	narwal_other_function	start_generate_map	[]
电量	narwal_other_function	info_elec_status	[]
扫一下这里	narwal_clean_function	come_here_sweep	[]
把餐厅区域重新拖一下	narwal_clean_function	start_mop	"[[""location"", 1, 5]]"
清洁主卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
过来清扫一下我这里	narwal_clean_function	come_here_clean	[]
请重新建图	narwal_other_function	start_generate_map	[]
最大吸力扫地	narwal_clean_function	start_sweep	"[[""suction"", 0, 2]]"
去把客厅的地扫一遍	narwal_clean_function	start_sweep	"[[""frequency"", 7, 8], [""location"", 2, 4]]"
打扫一下这里	narwal_clean_function	come_here_clean	[]
清洁走廊客厅	narwal_clean_function	start_clean	[]
继续打扫客厅	narwal_clean_function	continue_clean	"[[""location"", 4, 6]]"
打扫第二间卧室	narwal_clean_function	start_clean	"[[""location"", 2, 7]]"
到这来清理	narwal_clean_function	come_here_clean	[]
结束清洁	narwal_clean_function	stop_clean	[]
来我这清洁	narwal_clean_function	come_here_clean	[]
来我这里打扫干净	narwal_clean_function	come_here_clean	[]
去厨房拖地	narwal_clean_function	start_mop	"[[""location"", 1, 3]]"
打扫一下餐桌和	narwal_clean_function	start_clean	"[[""location"", 4, 6]]"
回去吧	narwal_other_function	start_back_station	[]
到次卧来	narwal_clean_function	move	"[[""location"", 1, 3]]"
我们回家了	narwal_other_function	start_back_station	[]
你打扫的不干净呀	narwal_clean_function	start_clean	[]
清洁次卧	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
把餐厅区域重新拖一遍	narwal_clean_function	start_mop	"[[""frequency"", 8, 9], [""location"", 1, 5]]"
出来扫地	narwal_clean_function	start_sweep	[]
打扫家	narwal_clean_function	start_clean	"[[""location"", 2, 3]]"
开始打扫	narwal_clean_function	start_clean	[]
哈到我这里来	narwal_clean_function	come_here	[]
清扫入户门附近	narwal_clean_function	start_clean	[]
返回	narwal_other_function	start_back_station	[]
来这里	narwal_clean_function	come_here	[]
把这块区域重新拖一遍	narwal_clean_function	come_here_mop	[]
你在干什么呀	narwal_other_function	info_action_status	[]
开启充电	narwal_other_function	start_back_station	[]
到这	narwal_clean_function	come_here	[]
把客厅打扫一下	narwal_clean_function	start_clean	"[[""location"", 1, 3]]"
退回基站	narwal_other_function	start_back_station	[]
打扫卧室去	narwal_clean_function	start_clean	"[[""location"", 2, 4]]"
在干什么	narwal_other_function	info_action_status	[]
赶快扫地	narwal_clean_function	start_sweep	[]
来这边扫	narwal_clean_function	come_here_sweep	[]
用强劲挡扫一下主卧	narwal_clean_function	start_sweep	"[[""gear"", 1, 4], [""location"", 7, 9]]"
